,Experiment,machines,lead_time,mttf,a,ch,ce,bsp_n,bsp_cost,probsp_n,probsp_xo,probsp_cost,rl_model,ppo_cost,dqn_cost,ddqn_cost,optuna_cost,optuna_trial,dcl_cost,ProBSP vs BSP,PPO vs BSP,DQN vs BSP,DCL vs BSP,PPO vs ProBSP,DQN vs ProBSP,DCL vs ProBSP
97,48,5,3,5,5.0,1,5,4,1.74157,2,50.0,1.544195,69546,1.56591,1.545565,1.556215,,,1.545,0.11333164902932416,0.1008630144065413,0.1064298305551888,0.11286942241770363,-0.014062343162618665,-0.007783991011497848,-0.0005213072183240748
98,49,5,4,5,5.0,1,5,5,1.79878,2,35.0,1.67982,87355,1.77495,1.803685,1.78301,,,1.7527,0.0661337128498204,0.01324786799942184,0.008767053224963621,0.025617362879284917,-0.056631067614387215,-0.06142920074769909,-0.04338560083818494
99,50,5,5,5,5.0,1,5,5,1.97578,3,40.0,1.77956,56212,1.98471,2.021745,1.98168,,,1.9778,0.09931267651256721,-0.004519733978479326,-0.0029861624269908672,-0.0010223810343256388,-0.11528130549124499,-0.11357863741599052,-0.11139832318101102
100,1,10,1,10,1.0,1,5,3,1.862625,1,81.25,1.40195,60628,1.409405,1.27464,1.33503,1.309575,19.0,1.2266,0.24732568284007783,0.24332326689483924,0.28325347292128045,0.3414670156365345,-0.005317593352116687,0.0477335140340241,0.125075787296266
101,2,10,2,10,1.0,1,5,4,1.99388,1,72.5,1.61613,88463,1.688785,1.624215,1.59493,0.0,0.0,1.5639,0.18945473147832367,0.15301572812807196,0.2000872670371337,0.21564988865929746,-0.044956160704893736,0.01311775661611387,0.03231794471979358
102,3,10,3,10,1.0,1,5,5,2.11621,1,63.75,1.79139,61204,1.841355,1.770175,1.756705,0.0,0.0,1.7348,0.15349138318030822,0.129880777427571,0.1698815334962032,0.18023258561295913,-0.027891748865406213,0.01936205962967309,0.03158999436192015
103,4,10,4,10,1.0,1,5,5,2.16015,2,65.0,1.904465,90075,1.92557,1.86758,1.972255,0.0,0.0,1.8577,0.11836446543064127,0.1085943105802837,0.08698238548248952,0.14001342499363467,-0.011081852383740279,-0.03559529841714078,0.024555452581171176
104,5,10,5,10,1.0,1,5,6,2.21068,2,58.75,2.00322,98979,1.98054,1.960625,1.958035,0.0,0.0,1.9433,0.09384442795881819,0.10410371469412127,0.11428384026634339,0.12094921019776718,0.011321771947164971,0.02255618454288586,0.02991184193448536
105,6,10,1,20,1.0,1,5,2,1.443875,0,85.0,0.860225,70620,0.976655,0.99942,0.9500350000000001,0.97036,68.0,0.8158,0.40422474244654144,0.3235875681759155,0.3420240671803307,0.434992641329755,-0.13534831003516526,-0.10440291784126253,0.05164346537243169
106,7,10,2,20,1.0,1,5,2,1.46442,0,81.25,1.03302,18086,1.27061,1.176375,1.116935,1.14735,14.0,1.0223,0.2945876183062236,0.13234591169200094,0.23728506849127984,0.3019079225905137,-0.22999554703684338,-0.08123269636599481,0.010377340225745931
107,8,10,3,20,1.0,1,5,2,1.56228,0,77.5,1.161965,92192,1.34115,1.278075,1.21727,0.0,0.0,1.1435,0.25623767826509974,0.1415431292726015,0.2208374939191437,0.26805694241749234,-0.15420860352936636,-0.04759609798918226,0.01589118432999269
108,9,10,4,20,1.0,1,5,3,1.6113,0,72.5,1.2545,22013,1.390315,1.32585,1.30029,0.0,0.0,1.2141,0.2214361074908459,0.13714702414199714,0.19301805995159188,0.24650902997579593,-0.10826225587883621,-0.036500597847748104,0.03220406536468712
109,10,10,5,20,1.0,1,5,3,1.615965,1,80.0,1.327515,65883,1.409495,1.373175,1.35237,0.0,0.0,1.2795,0.17850015315925782,0.12776885637993407,0.16311925072634617,0.20821304916876293,-0.06175448111697415,-0.018722952283025104,0.03616908283522214
110,11,10,1,10,5.0,1,5,3,1.859185,0,75.0,0.789,35918,1.242355,0.9732700000000001,0.8567199999999999,0.958365,87.0,0.78,0.575620500380543,0.3317744065275914,0.5391959380050937,0.5804613311746813,-0.5745944233206591,-0.08583016476552584,0.011406844106463887
111,12,10,2,10,5.0,1,5,4,1.997475,1,73.75,1.34497,26942,1.535165,1.44683,1.39928,0.0,0.0,1.3285,0.32666491445449874,0.23144720209264197,0.29947558792976126,0.33491032428440903,-0.14141207610578665,-0.040380082827126317,0.012245626296497308
112,13,10,3,10,5.0,1,5,5,2.107705,1,66.25,1.600825,10770,1.68727,1.64571,1.622885,0.0,0.0,1.5484,0.24048906274834486,0.19947525863439147,0.230022702418033,0.2653620881480094,-0.054000281105055274,-0.01378039448409412,0.03274873893148842
113,14,10,4,10,5.0,1,5,5,2.15364,2,67.5,1.77466,67058,1.783545,1.759335,1.73682,0.0,0.0,1.686,0.17597184301926055,0.17184626957151625,0.19354209617206225,0.2171393547668135,-0.005006592812144316,0.02132239414873828,0.0499588653601253
